


// @todo 里|裏|裡

乾脆|0x48000000|4275

干花|0x100000|50954
干草|0x100000|22099
干草堆|0x100000|1132
干菜|0x100000|36635
干薪|0x100000|53235
干血浆|0x100000|1292
乾裂|0x101000|31153
干警|0x100000|4502
干谒|0x1000|1230
干谷|0x100000|0
干贝|0x100000|50953
干货|0x100000|39913
干路|0x100000|1111
干连|0x1000|50169
干道|0x100000|20994

不幹|0x1000|666

干亲家|0x0000|48336
干儿|0x0000|24117
幹出|0x0000|545
干呕|0x0000|47053
幹啥|0x0000|8264
干啼湿哭|0x0000|100
干女儿|0x0000|29200
干好|0x0000|530
干将莫邪|0x0000|100
干巴利脆|0x0000|100
干巴利落|0x0000|100
干干翼翼|0x0000|100
干戈载戢|0x0000|100
干松|0x0000|55226
干点|0x0000|518
干煸|0x0000|55663
干父之蛊|0x0000|100
干爸|0x0000|45869
干白|0x0000|50952
干硬|0x0000|41237
干端坤倪|0x0000|100
干等|0x0000|22672
干部人事制度改革|0x0000|473
干部群众|0x0000|583
干部职工|0x0000|610
干部队伍|0x0000|587
干霄凌云|0x0000|100
干鲜果品|0x0000|41692

// @todo

捨|0x01000|0
舍|0x101000|0

捨去|0x01000|0

四捨五入|0x1101000|0

捨不得|0x1000|6469
//舍亲|0x100000|1271
舍利|0x100000|565
舍利子|0x100000|501
舍友|0x100000|524
捨命|0x1000|27480
捨弃|0x1000|15797
捨得|0x1000|10669
捨旧谋新|0x1000|100
舍监|0x100000|404
捨身|0x1000|23286

// @todo

回覆|0x1000|0
回復|0x1000|0
回复|0x1000|0

平復|0x1000|30194

復甦|0x1000|5941
復蘇|0x1000|5941
//复苏|0x1000|5941

反覆|0x8001000|2062
反复|0x8001000|2062

反反覆覆|0x9001000|664
反反复复|0x9001000|664


//苍黄反复|0x0000|100
//苍黄翻复|0x0000|100
//苍黄翻覆|0x0000|100

反覆無常|0x1001000|30912
反复無常|0x1001000|30912

反覆推敲|0x801000|987
反复推敲|0x801000|987

甦醒|0x1000|14947

康復|0x101000|6183
//康復训练|0x100000|436
//康復中心|0x0008|870

// @todo 優优憂

//優|0x4101000|1486
//憂|0x4101000|1486
//优|0x4101000|1486

担憂|0x1000|6601

優質|0x20101000|2556
優良|0x40000000|2622

高枕无憂|0x1000000|28178


优于|0x1000|15217
優会价|0x100000|0
//优伶|0x100000|35750
優先|0x8000000|3658
優先权|0x100000|852
優先级|0x100000|790
優先股|0x100000|1028
優劣|0x100000|12637
優势|0x100000|1268
//優势产业|0x100000|533
優化|0x1000|2564
優厚|0x40000000|20638
优容|0x40000000|46347
優异|0x40000000|7464
優待|0x100000|10515
優待券|0x100000|1262
優待证|0x100000|1123
優惠|0x1000|3076
優惠价|0x100000|612
優惠券|0x100000|743
優惠卡|0x100000|507
//優惠政策|0x100000|642
//優惠机票|0x100000|492
//優惠活动|0x100000|583
優惠证|0x100000|488
优抚|0x1000|19151
优柔|0x40000000|42825
優渥|0x40000000|52552
//優游|0x40000000|865
優点|0x100000|6541
優生|0x1000|27662
優生学|0x100000|1060
//优盘|0x100000|55978
優秀|0x40000000|1176
//优秀企业|0x100000|560
//优秀作家|0x100000|484
//优秀共产党员|0x100000|524
//优秀员工|0x100000|492
//优秀团员|0x100000|486
優秀奖|0x100000|822
//优秀班主任|0x100000|458
//优秀论文|0x100000|518
//优秀青年|0x100000|521
優等|0x20000000|36922
優等生|0x100000|859
優缺点|0x100000|34419
優美|0x40000000|4292
优育|0x1000|31463
優胜|0x1000|26937
優胜奖|0x100000|982
優胜者|0x100000|863
優胜者杯|0x100000|395
優胜队|0x100000|1276

優裕|0x40000000|33350

優质服务|0x100000|642
優质课|0x100000|499
優越|0x40000000|7870
優越性|0x100000|8329
優越感|0x100000|22556
優选|0x1000|28428
優选法|0x100000|48575
优遇|0x100000|50426
優闲|0x40000000|960
優雅|0x40000000|11891

优价|0x0000|44292
//优先发展|0x0000|530
//优先购买|0x0000|472
//优化大师|0x0000|544
//优化经济结构|0x0000|407
优抚金|0x0000|47881
优游自适|0x0000|100
优秀人才|0x0000|591
//优秀作品|0x0000|562
优秀党员|0x0000|496
//优秀学生|0x0000|569
//优秀成果|0x0000|480
//优良传统|0x0000|576
//优质产品|0x0000|554

// @todo 繫系

連繫|0x001000|0

聯繫|0x1000|608
//联系国|0x100000|1322
//联系地址|0x100000|547
//联系方式|0x100000|488
//联系方法|0x100000|497
聯繫点|0x100000|969
//联系电话|0x100000|482

// @todo 采採

採|0x1000|2522
采|0x1000|2522

可採用|0x40001000|606

採用|0x1000|0
採收|0x101000|0
採取|0x101000|0
採訪|0x101000|0
採購|0x101000|0
開採|0x101000|0

丰采|0x100000|0
風采|0x100000|0


採伐|0x1000|10691
採信|0x1000|973
採光|0x100000|27438
採写|0x1000|16294
採制|0x1000|50488
採办|0x1000|34914
採区|0x100000|1055
採录|0x1000|42142
採挖|0x1000|34440
採掘|0x1000|22089
採摘|0x1000|12102
採撷|0x1000|836

采暖|0x100000|18495
采暖炉|0x100000|381
采暖系统|0x100000|440
采暖设备|0x100000|384
采暖费|0x100000|439

採样|0x1000|21257
採桑|0x0080|1051
採油|0x1000|22718
採煤|0x1000|16618
採石|0x1000|785
採石场|0x100000|887
採矿|0x1000|10509
採矿业|0x100000|953
採砂|0x100000|476
採种|0x1000|43125
採空区|0x100000|1092
採纳|0x1000|7915
採编|0x1000|18386
採茶|0x1000|893
採茶戏|0x100000|47001
採药|0x1000|860
採莲船|0x100000|1271
採血|0x1000|35175
採行|0x1000|1020

採访部|0x100000|1055

採购员|0x100000|30141

采邑|0x100000|1084
采邑制|0x100000|0

採採|0x1000|1235
採集|0x1000|6475
採风|0x1000|12609
採食|0x100000|1028

採到|0x1000|0

//

白鬚|0x100000|0
白鬍|0x100000|0

鬍子|0x100000|0
鬚子|0x100000|0

络腮鬚|0x100000|54381
络腮鬚子|0x900000|25489
络腮鬍|0x100000|54381
络腮鬍子|0x900000|25489


//

嚴厲|0x08001000|2788

放鬆|0x1000|4231

//

餘閒|0x08101000|0

剩餘|0x101000|6987
//剩余价值率|0x100000|1223
//剩余劳动力|0x100000|849
//剩余时间|0x100000|600
剩餘物|0x100000|1133

空餘|0x40000000|35532

留有餘地|0x800000|902

餘下|0x1000|16088
餘值|0x100000|0
餘党|0x100000|36923
餘兴|0x100000|37462
余切|0x100000|1173
餘利|0x0080|52556
餘剩|0x1000|48221
餘割|0x100000|1300
餘力|0x100000|29913
余味|0x100000|39212
餘地|0x101000|8841
餘外|0x10000000|0
餘头|0x100000|1084
餘威|0x100000|37822
餘孽|0x100000|32844
餘家|0x20000|1158
餘年|0x4000|14626
餘庆|0x0080|1530
餘弦|0x100000|965
餘悸|0x100000|43088
餘数|0x100000|939
餘晖|0x100000|35019
餘暇|0x100000|38191
餘款|0x100000|33064
//余正二次型|0x400000|0
